# FlashTeX canonical LaTeX list: the coverage denominator for `flashtex-compiler --supported`.
# GENERATED by crates/compiler/scripts/canonical_latex.py; do not edit by hand.
# Method: candidates from the sources below, each confirmed defined by a pdfLaTeX run
# (\documentclass{article}); a package set excludes names defined without it (article plus
# the package's own dependencies); names with @ _ : are excluded; tikz excludes pgf*.
# Engine: TeX 3.141592653 (TeX Live 2026)
# Source kernel: doc/latex/latex2e-help-texinfo/latex2e.texi (UPDATED May 2024) @findex commands and @EnvIndex environments; confirmed with LaTeX2e 2025-11-01 patch level 0, article class
# Source amsmath: tokens of amsmath.sty, amstext.sty, amsbsy.sty, amsopn.sty (amsmath.sty 2025/07/09 v2.17z AMS math features; amstext.sty 2024/11/17 v2.01 AMS text; amsbsy.sty 1999/11/29 v1.2d Bold Symbols; amsopn.sty 2022/04/08 v2.04 operator names); dependency baseline: amsgen
# Source amssymb: tokens of amssymb.sty, amsfonts.sty (amssymb.sty 2013/01/14 v3.01 AMS font symbols; amsfonts.sty 2013/01/14 v3.01 Basic AMSFonts support); dependency baseline: none
# Source enumitem: tokens of enumitem.sty (enumitem.sty 2025/02/06 v3.11 Customized lists); dependency baseline: none
# Source geometry: tokens of geometry.sty (geometry.sty 2026/03/07 v6.0 Page Geometry); dependency baseline: keyval, ifvtex, iftex
# Source graphicx: tokens of graphicx.sty, graphics.sty (graphicx.sty 2024/12/31 v1.2e Enhanced LaTeX Graphics (DPC,SPQR); graphics.sty 2024/08/06 v1.4g Standard LaTeX Graphics (DPC,SPQR)); dependency baseline: keyval, trig
# Source hyperref: tokens of hyperref.sty, nameref.sty (hyperref.sty 2026-01-29 v7.01p Hypertext links for LaTeX; nameref.sty 2026-01-29 v2.58 Cross-referencing by name of section); dependency baseline: iftex, keyval, kvsetkeys, kvdefinekeys, pdfescape, ltxcmds, pdftexcmds, infwarerr, hycolor, refcount, gettitlestring, kvoptions, etoolbox, stringenc, intcalc, url, bitset, bigintcalc, rerunfilecheck, uniquecounter
# Source tikz: tokens of tikz.sty, tikz.code.tex (tikz.sty 2025-08-29 v3.1.11a (3.1.11a); pgf 3.1.11a); dependency baseline: pgf, pgfrcs, pgfcore, graphicx, keyval, graphics, trig, pgfsys, xcolor, pgfcomp-version-0-65, pgfcomp-version-1-18, pgffor, pgfkeys, pgfmath
# Source xcolor: tokens of xcolor.sty (xcolor.sty 2024/09/29 v3.02 LaTeX color extensions (UK)); dependency baseline: none
# Source siunitx: tokens of siunitx.sty (siunitx.sty 2025-07-09 v3.4.14 A comprehensive (SI) units package); dependency baseline: translations, etoolbox, pdftexcmds, infwarerr, iftex, ltxcmds, amstext, amsgen, array
# set	kind	name
kernel	command	AA
kernel	command	AE
kernel	command	Alph
kernel	command	AtBeginDocument
kernel	command	AtBeginDvi
kernel	command	AtEndDocument
kernel	command	AtEndDvi
kernel	command	AtEndOfClass
kernel	command	AtEndOfPackage
kernel	command	CheckCommand
kernel	command	ClassError
kernel	command	ClassInfo
kernel	command	ClassWarning
kernel	command	ClassWarningNoLine
kernel	command	CurrentOption
kernel	command	DH
kernel	command	DJ
kernel	command	DeclareFontEncoding
kernel	command	DeclareOption
kernel	command	DeclareRobustCommand
kernel	command	DeclareTextAccent
kernel	command	DeclareTextAccentDefault
kernel	command	DeclareTextCommand
kernel	command	DeclareTextCommandDefault
kernel	command	DeclareTextComposite
kernel	command	DeclareTextCompositeCommand
kernel	command	DeclareTextSymbol
kernel	command	DeclareTextSymbolDefault
kernel	command	DocumentMetadata
kernel	command	ExecuteOptions
kernel	command	H
kernel	command	Huge
kernel	command	IJ
kernel	command	IfFileExists
kernel	command	InputIfFileExists
kernel	command	LARGE
kernel	command	Large
kernel	command	LastDeclaredEncoding
kernel	command	LoadClass
kernel	command	LoadClassWithOptions
kernel	command	NG
kernel	command	NeedsTeXFormat
kernel	command	O
kernel	command	OE
kernel	command	OptionNotUsed
kernel	command	PackageError
kernel	command	PackageInfo
kernel	command	PackageWarning
kernel	command	PackageWarningNoLine
kernel	command	PassOptionsToClass
kernel	command	PassOptionsToPackage
kernel	command	ProcessOptions
kernel	command	ProvideTextCommand
kernel	command	ProvideTextCommandDefault
kernel	command	ProvidesClass
kernel	command	ProvidesFile
kernel	command	ProvidesPackage
kernel	command	RequirePackage
kernel	command	RequirePackageWithOptions
kernel	command	SS
kernel	command	TH
kernel	command	UseTextAccent
kernel	command	UseTextSymbol
kernel	command	aa
kernel	command	accent
kernel	command	addcontentsline
kernel	command	addtocontents
kernel	command	addtocounter
kernel	command	addtolength
kernel	command	addvspace
kernel	command	ae
kernel	command	and
kernel	command	appendix
kernel	command	arraycolsep
kernel	command	b
kernel	command	baselineskip
kernel	command	baselinestretch
kernel	command	begin
kernel	command	bfseries
kernel	command	bibitem
kernel	command	bibliography
kernel	command	bibliographystyle
kernel	command	bigbreak
kernel	command	bigl
kernel	command	bigr
kernel	command	bigskip
kernel	command	bigskipamount
kernel	command	boldmath
kernel	command	bottomfraction
kernel	command	c
kernel	command	capitalacute
kernel	command	capitalbreve
kernel	command	capitalcaron
kernel	command	capitalcedilla
kernel	command	capitalcircumflex
kernel	command	capitaldieresis
kernel	command	capitaldotaccent
kernel	command	capitalgrave
kernel	command	capitalhungarumlaut
kernel	command	capitalmacron
kernel	command	capitalnewtie
kernel	command	capitalogonek
